number,company,symbol,ytd_return
1,NVIDIA CORP,NVDA,36.25%
2,META PLATFORMS INC CLASS A,META,32.23%
3,CATALENT INC,CTLT,29.62%
4,ELI LILLY + CO,LLY,27.96%
5,RALPH LAUREN CORP,RL,27.66%
6,TAPESTRY INC,TPR,27.57%
7,JUNIPER NETWORKS INC,JNPR,25.47%
8,UBER TECHNOLOGIES INC,UBER,24.15%
9,VIATRIS INC,VTRS,22.44%
10,SOUTHWEST AIRLINES CO,LUV,19.60%
11,PROGRESSIVE CORP,PGR,19.44%
12,WALT DISNEY CO/THE,DIS,19.25%
13,WR BERKLEY CORP,WRB,18.04%
14,NETFLIX INC,NFLX,17.76%
15,MERCK + CO. INC.,MRK,17.52%
16,APPLIED MATERIALS INC,AMAT,17.44%
17,HOWMET AEROSPACE INC,HWM,17.37%
18,HARTFORD FINANCIAL SVCS GRP,HIG,16.84%
19,GENERAL ELECTRIC CO,GE,16.80%
20,BROWN + BROWN INC,BRO,16.50%
21,STRYKER CORP,SYK,16.06%
22,DIAMONDBACK ENERGY INC,FANG,15.91%
23,DAVITA INC,DVA,15.40%
24,TRAVELERS COS INC/THE,TRV,15.22%
25,LAM RESEARCH CORP,LRCX,15.15%
26,HCA HEALTHCARE INC,HCA,15.12%
27,TRANSDIGM GROUP INC,TDG,15.10%
28,EATON CORP PLC,ETN,15.09%
29,INGERSOLL RAND INC,IR,15.00%
30,BERKSHIRE HATHAWAY INC CL B,BRK.B,14.75%
31,THE CIGNA GROUP,CI,14.67%
32,FORTIVE CORP,FTV,14.64%
33,LEIDOS HOLDINGS INC,LDOS,14.51%
34,ARCH CAPITAL GROUP LTD,ACGL,14.06%
35,WASTE MANAGEMENT INC,WM,14.03%
36,WILLIS TOWERS WATSON PLC,WTW,14.01%
37,BOSTON SCIENTIFIC CORP,BSX,13.73%
38,ALLSTATE CORP,ALL,13.71%
39,CENCORA INC,COR,13.68%
40,PARKER HANNIFIN CORP,PH,13.68%
41,EDWARDS LIFESCIENCES CORP,EW,13.64%
42,WW GRAINGER INC,GWW,13.56%
43,TRANE TECHNOLOGIES PLC,TT,13.39%
44,TRIMBLE INC,TRMB,13.36%
45,MONOLITHIC POWER SYSTEMS INC,MPWR,13.18%
46,CORTEVA INC,CTVA,13.15%
47,ABBVIE INC,ABBV,13.02%
48,INTUITIVE SURGICAL INC,ISRG,12.71%
49,AMERICAN EXPRESS CO,AXP,12.57%
50,UNITED RENTALS INC,URI,12.46%
51,CONSTELLATION ENERGY,CEG,12.41%
52,WYNN RESORTS LTD,WYNN,12.37%
53,CHIPOTLE MEXICAN GRILL INC,CMG,12.35%
54,TARGA RESOURCES CORP,TRGP,12.20%
55,KLA CORP,KLAC,12.15%
56,MARATHON PETROLEUM CORP,MPC,11.92%
57,VULCAN MATERIALS CO,VMC,11.64%
58,FORTINET INC,FTNT,11.64%
59,CHUBB LTD,CB,11.49%
60,ADVANCED MICRO DEVICES,AMD,11.45%
61,JACOBS SOLUTIONS INC,J,11.37%
62,PACCAR INC,PCAR,11.29%
63,ALIGN TECHNOLOGY INC,ALGN,11.19%
64,FISERV INC,FI,11.14%
65,HUNTINGTON INGALLS INDUSTRIE,HII,10.97%
66,AMAZON.COM INC,AMZN,10.96%
67,MOLINA HEALTHCARE INC,MOH,10.44%
68,WALMART INC,WMT,10.18%
69,BUILDERS FIRSTSOURCE INC,BLDR,10.02%
70,REPUBLIC SERVICES INC,RSG,9.98%
71,BROADCOM INC,AVGO,9.96%
72,ULTA BEAUTY INC,ULTA,9.96%
73,GENERAL MOTORS CO,GM,9.94%
74,GE HEALTHCARE TECHNOLOGY,GEHC,9.91%
75,MOHAWK INDUSTRIES INC,MHK,9.89%
76,INTL BUSINESS MACHINES CORP,IBM,9.87%
77,MASCO CORP,MAS,9.87%
78,CUMMINS INC,CMI,9.86%
79,AIRBNB INC CLASS A,ABNB,9.62%
80,MCKESSON CORP,MCK,9.60%
81,COSTCO WHOLESALE CORP,COST,9.54%
82,TRACTOR SUPPLY COMPANY,TSCO,9.46%
83,PROCTER + GAMBLE CO/THE,PG,9.46%
84,O REILLY AUTOMOTIVE INC,ORLY,9.44%
85,ECOLAB INC,ECL,9.37%
86,HILTON WORLDWIDE HOLDINGS IN,HLT,9.31%
87,BAXTER INTERNATIONAL INC,BAX,9.23%
88,VERIZON COMMUNICATIONS INC,VZ,9.02%
89,AUTOMATIC DATA PROCESSING,ADP,8.99%
90,NORFOLK SOUTHERN CORP,NSC,8.99%
91,SYSCO CORP,SYY,8.96%
92,LAS VEGAS SANDS CORP,LVS,8.70%
93,FASTENAL CO,FAST,8.58%
94,REGENERON PHARMACEUTICALS,REGN,8.49%
95,DANAHER CORP,DHR,8.35%
96,ARISTA NETWORKS INC,ANET,8.06%
97,ELEVANCE HEALTH INC,ELV,8.02%
98,XYLEM INC,XYL,7.98%
99,MARRIOTT INTERNATIONAL  CL A,MAR,7.91%
100,EMERSON ELECTRIC CO,EMR,7.84%
101,PHILLIPS 66,PSX,7.82%
102,SALESFORCE INC,CRM,7.76%
103,HUBBELL INC,HUBB,7.67%
104,AMERICAN AIRLINES GROUP INC,AAL,7.64%
105,MASTERCARD INC   A,MA,7.63%
106,JABIL INC,JBL,7.60%
107,CITIGROUP INC,C,7.56%
